"Module","Analysis","P value","Q value","Direction"
"mod21","Longitudinal analysis - 2|5 shape",0.0272041870798602,0.0994561678188437,"Mild"
"mod21","Longitudinal analysis - 3|5 average",0.00145752947287472,0.0106955400167785,"Mild"
"mod21","Longitudinal analysis - 3|5 shape",0.0361739868590373,0.116029769170497,"Mild"
"mod21","Longitudinal analysis - 4|5 average",0.0160478817341514,0.0724284927824533,"Mild"
"mod21","Longitudinal analysis - 4|5 shape",0.0297354061771755,0.104007128953067,"Mild"
"mod22","Longitudinal analysis - 1|2 average",0.0101655481617308,0.0521048197234441,"Severe"
"mod22","Longitudinal analysis - 1|4 average",4.64980783285157e-06,7.41063123360719e-05,"Severe"
"mod22","Longitudinal analysis - 1|5 average",4.26733186156446e-06,6.90901349015198e-05,"Severe"
"mod22","Longitudinal analysis - 2|4 average",4.82916550008523e-05,0.000586398667867492,"Severe"
"mod22","Longitudinal analysis - 2|5 average",2.18505749840443e-05,0.000293257716891121,"Severe"
"mod22","Longitudinal analysis - 2|5 shape",0.0183513766930212,0.0760910740930147,"Severe"
"mod22","Longitudinal analysis - 3|4 average",0.000610551290424956,0.00527764674774115,"Severe"
"mod22","Longitudinal analysis - 3|5 average",0.000983758908048543,0.00802747268967611,"Severe"
"mod22","Longitudinal analysis - 4|5 shape",0.0377036401473865,0.119805959346836,"Severe"
"mod25","Longitudinal analysis - 1|2 average",0.0310682914533953,0.115655683512639,"Mild"
