""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"952","symptom_lymphadenopathy",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"953","symptom_allneuro",NA,"100% (1/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"100% (2/2)","NaN% (0/0)",-25.7,"34.8% (32/92)","9.1% (1/11)",NA,"30.4% (14/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"954","symptom_headache",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",-18.5,"18.5% (17/92)","0% (0/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"955","symptom_confusion",NA,"100% (1/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",-0.7,"9.8% (9/92)","9.1% (1/11)",NA,"13% (6/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"956","symptom_syncope",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0,"0% (0/92)","0% (0/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"957","symptom_anosmia",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-8.7,"8.7% (8/92)","0% (0/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"958","symptom_allGI",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-11.2,"29.3% (27/92)","18.2% (2/11)",NA,"28.3% (13/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"959","symptom_abdpain",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-8.7,"8.7% (8/92)","0% (0/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"960","symptom_nausea",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",4.1,"14.1% (13/92)","18.2% (2/11)",NA,"10.9% (5/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"961","symptom_diarrhea",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-15.2,"15.2% (14/92)","0% (0/11)",NA,"15.2% (7/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"962","symptom_allderm",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-2.2,"2.2% (2/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"963","symptom_skinrash",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"964","symptom_skinulcer",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"965","symptom_allother",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0.4,"8.7% (8/92)","9.1% (1/11)",NA,"10.9% (5/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"966","symptom_arthralgia",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"4.3% (2/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"967","symptom_edema",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",5.8,"3.3% (3/92)","9.1% (1/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"968","symptom_nonamb",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-4.3,"4.3% (4/92)","0% (0/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"969","ever_ever_esc",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",17.6,"37% (34/92)","54.5% (6/11)",NA,"54.3% (25/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"970","ever_icu",NA,"100% (1/1)","NaN% (0/0)",NA,"80% (4/5)","NaN% (0/0)",NA,"100% (2/2)","NaN% (0/0)",1.1,"98.9% (91/92)","100% (11/11)",NA,"97.8% (45/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"971","diedever",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",46.2,"17.4% (16/92)","63.6% (7/11)",NA,"100% (46/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"972","ever_remdes",NA,"0% (0/1)","NaN% (0/0)",NA,"100% (5/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-11.4,"75% (69/92)","63.6% (7/11)",NA,"56.5% (26/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"973","ever_steroids",NA,"0% (0/1)","NaN% (0/0)",NA,"100% (5/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",-5.1,"87% (80/92)","81.8% (9/11)",NA,"87% (40/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"974","ever_azithro",NA,"0% (0/1)","NaN% (0/0)",NA,"100% (5/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",-13.6,"50% (46/92)","36.4% (4/11)",NA,"32.6% (15/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"975","ever_otherabx",NA,"0% (0/1)","NaN% (0/0)",NA,"100% (5/5)","NaN% (0/0)",NA,"100% (2/2)","NaN% (0/0)",7.6,"92.4% (85/92)","100% (11/11)",NA,"93.5% (43/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"976","ever_conplas",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-5,"14.1% (13/92)","9.1% (1/11)",NA,"13% (6/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"977","ever_monoclonal",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0,"0% (0/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"978","ever_immsupp",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",10.6,"7.6% (7/92)","18.2% (2/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"979","anycomp",NA,"100% (1/1)","NaN% (0/0)",NA,"100% (5/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",4.3,"95.7% (88/92)","100% (11/11)",NA,"100% (46/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"980","ncomp",NA,"100% (1/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-4.3,"4.3% (4/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"981","comp_seizure",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-2.2,"2.2% (2/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"982","comp_meningitis",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",16,"2.2% (2/92)","18.2% (2/11)",NA,"4.3% (2/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"983","comp_stroke",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-6.5,"6.5% (6/92)","0% (0/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"984","comp_afib",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-4,"13% (12/92)","9.1% (1/11)",NA,"23.9% (11/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"985","comp_ventricular_arr",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",19.7,"7.6% (7/92)","27.3% (3/11)",NA,"10.9% (5/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"986","comp_myocard",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0,"0% (0/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"987","comp_cardarrest",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-5.4,"5.4% (5/92)","0% (0/11)",NA,"37% (17/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"988","comp_stemi",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",9.1,"0% (0/92)","9.1% (1/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"989","comp_nstemi",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-3.3,"3.3% (3/92)","0% (0/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"990","comp_chf",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",12.7,"5.4% (5/92)","18.2% (2/11)",NA,"17.4% (8/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"991","comp_pneumonia",NA,"100% (1/1)","NaN% (0/0)",NA,"80% (4/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",-4.1,"85.9% (79/92)","81.8% (9/11)",NA,"87% (40/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"992","comp_bronch",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"993","comp_pneumo",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",18.6,"8.7% (8/92)","27.3% (3/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"994","comp_pneumomed",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-3.3,"3.3% (3/92)","0% (0/11)",NA,"8.7% (4/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"995","comp_aat",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",4.7,"4.3% (4/92)","9.1% (1/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"996","comp_avthromb",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",24.8,"20.7% (19/92)","45.5% (5/11)",NA,"21.7% (10/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"997","comp_shock",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",18.8,"63% (58/92)","81.8% (9/11)",NA,"78.3% (36/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"998","comp_bac",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",28.9,"34.8% (32/92)","63.6% (7/11)",NA,"34.8% (16/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"999","comp_coag",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",3.7,"5.4% (5/92)","9.1% (1/11)",NA,"4.3% (2/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1000","comp_hypogly",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-5.4,"5.4% (5/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1001","comp_bleed",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",8.4,"9.8% (9/92)","18.2% (2/11)",NA,"23.9% (11/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1002","comp_anemia",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",17.6,"37% (34/92)","54.5% (6/11)",NA,"26.1% (12/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1003","comp_pancreas",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0,"0% (0/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1004","comp_renal",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",23.4,"40.2% (37/92)","63.6% (7/11)",NA,"65.2% (30/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1005","comp_liver",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-0.3,"18.5% (17/92)","18.2% (2/11)",NA,"10.9% (5/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1006","comp_othlab",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-5.4,"5.4% (5/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1007","comp_electrolyte",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",2.6,"6.5% (6/92)","9.1% (1/11)",NA,"13% (6/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1008","comp_othinf",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",2.6,"6.5% (6/92)","9.1% (1/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1009","comp_unddisease",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"2.2% (1/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1010","comp_enceph",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",10.6,"7.6% (7/92)","18.2% (2/11)",NA,"4.3% (2/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1011","comp_othneuro",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1012","comp_hypergly",NA,"0% (0/1)","NaN% (0/0)",NA,"40% (2/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",4.7,"4.3% (4/92)","9.1% (1/11)",NA,"6.5% (3/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1013","comp_psych",NA,"0% (0/1)","NaN% (0/0)",NA,"20% (1/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",0,"0% (0/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1014","comp_gastroent",NA,"0% (0/1)","NaN% (0/0)",NA,"0% (0/5)","NaN% (0/0)",NA,"0% (0/2)","NaN% (0/0)",-1.1,"1.1% (1/92)","0% (0/11)",NA,"0% (0/46)","NaN% (0/0)","Human betaherpesvirus 5 (CMV).ea"
"1015","comorb_htn",NA,"100% (1/1)","NaN% (0/0)",NA,"40% (2/5)","NaN% (0/0)",NA,"100% (2/2)","NaN% (0/0)",28.4,"57.3% (55/96)","85.7% (6/7)",17.9,"57.1% (24/42)","75% (3/4)","Human gammaherpesvirus 4 (EBV).ea"
"1016","comorb_isaric_dm",NA,"0% (0/1)","NaN% (0/0)",NA,"60% (3/5)","NaN% (0/0)",NA,"50% (1/2)","NaN% (0/0)",9.2,"47.9% (46/96)","57.1% (4/7)",27.4,"47.6% (20/42)","75% (3/4)","Human gammaherpesvirus 4 (EBV).ea"
